BarrierID,NAACC_ID,Lat,Long,Rd_Name,Culv_Mat,In_Type,In_Shape,In_A,In_B,HW,Slope,Length,Out_Shape,Out_A,Out_B,Comments,Flags
1ALB,11200,42.446386,-74.193365,-1,Concrete,Wingwall,Round,2,0,0,2.5,50,-1,-1,-1,-1,0
2ALB,11194,42.462433,-74.173696,-1,Steel / Metal,Other,Round,2.2,0,0,0,1,-1,-1,-1,-1,0
3ALB,12021,42.451363,-74.188523,-1,Concrete,Headwall,Round,2.8,0,0,6.2,59,-1,-1,-1,-1,0
4ALB,11202,42.445371,-74.194336,-1,Steel / Metal,Wingwall,Round,5,0,0,3.5,50,-1,-1,-1,-1,0
5ALB,11203,42.440338,-74.200955,-1,Plastic,Other,Round,1.8,0,0,3.4,44,-1,-1,-1,-1,0
6ALB,12016,42.440338,-74.200955,-1,Plastic,Other,Round,1.8,0,0,3.4,44,-1,-1,-1,-1,0
7ALB,12017,42.445371,-74.194336,-1,Steel / Metal,Wingwall,Round,5,0,0,3.5,50,-1,-1,-1,-1,0
8ALB,12019,42.451363,-74.188523,-1,Concrete,Headwall,Round,2.8,0,0,6.2,59,-1,-1,-1,-1,0
9ALB,12020,42.451363,-74.188523,-1,Concrete,Headwall,Round,2.8,0,0,6.2,59,-1,-1,-1,-1,0
10ALB,11198,42.44936,-74.190028,-1,Steel / Metal,Wingwall,Round,2,0,0,2.7,49,-1,-1,-1,-1,0
11ALB,11172,42.464556,-74.21593,-1,Plastic,Headwall,Round,1.5,0,0,1.4,30.4,-1,-1,-1,-1,0
12ALB,11189,42.436541,-74.188933,-1,Plastic,Headwall,Round,0.5,0,0,2.2,24.5,-1,-1,-1,-1,0
13ALB,11192,42.437665,-74.179303,-1,Steel / Metal,Headwall,Round,1.3,0,0,4.3,30,-1,-1,-1,-1,0
14ALB,11219,42.499318,-74.194433,-1,Steel / Metal,Headwall,Round,1.5,0,0,2.9,28.8,-1,-1,-1,-1,0
15ALB,11233,42.474871,-74.185041,-1,Steel / Metal,Headwall,Round,2,0,0,2.9,36,-1,-1,-1,-1,0
16ALB,11150,42.48461,-74.185528,-1,Steel / Metal,Wingwall,Round,3.5,0,0,1.5,40,-1,-1,-1,-1,0
17ALB,11163,42.428281,-74.200691,-1,Steel / Metal,Projecting,Round,1.5,0,0,3.7,30.4,-1,-1,-1,-1,0
18ALB,11164,42.506181,-74.18733,-1,Concrete,Headwall,Round,1.5,0,0,7.6,39,-1,-1,-1,-1,0
19ALB,11165,42.506515,-74.18763,-1,Concrete,Headwall,Round,2,0,0,3.3,44,-1,-1,-1,-1,0
20ALB,11167,42.50066,-74.190273,-1,Steel / Metal,Wingwall,Round,7,0,0,5.8,37.5,-1,-1,-1,-1,0
21ALB,11170,42.473981,-74.216081,-1,Plastic,Headwall,Round,1.5,0,0,5.4,40,-1,-1,-1,-1,0
22ALB,11171,42.470461,-74.216741,-1,Plastic,Headwall and Wingwall,Round,1.5,0,0,5,40.7,-1,-1,-1,-1,0
23ALB,11173,42.46246,-74.215025,-1,Plastic,Headwall,Round,1.5,0,0,1.4,30.2,-1,-1,-1,-1,0
24ALB,11174,42.456563,-74.212956,-1,Plastic,Wingwall,Round,1.5,0,0,3.7,40.3,-1,-1,-1,-1,0
25ALB,11175,42.455463,-74.212228,-1,Plastic,Headwall and Wingwall,Round,1.5,0,0,7.8,40,-1,-1,-1,-1,0
26ALB,11176,42.449238,-74.209396,-1,Plastic,Headwall,Round,1.5,0,0,6.8,40.3,-1,-1,-1,-1,0
27ALB,11178,42.48972,-74.203848,-1,Plastic,Headwall,Round,3,0,0,1.3,40.5,-1,-1,-1,-1,0
28ALB,11179,42.487448,-74.205678,-1,Steel / Metal,Headwall,Round,2.5,0,0,5.3,35,-1,-1,-1,-1,0
29ALB,11181,42.479741,-74.215125,-1,Steel / Metal,Headwall and Wingwall,Round,2.5,0,0,2.3,41,-1,-1,-1,-1,0
30ALB,11183,42.46815,-74.196562,-1,Plastic,Projecting,Round,2,0,0,3.3,40.4,-1,-1,-1,-1,0
31ALB,11184,42.467677,-74.199522,-1,Plastic,Headwall,Round,1.4,0,0,6,50.5,-1,-1,-1,-1,0
32ALB,11185,42.43439,-74.201166,-1,Plastic,Headwall and Wingwall,Round,2,0,0,7.7,62,-1,-1,-1,-1,0
33ALB,11186,42.435375,-74.198546,-1,Plastic,Projecting,Round,2,0,0,78,61,-1,-1,-1,-1,0
34ALB,11187,42.43542,-74.19773,-1,Plastic,Projecting,Round,2,0,0,7.8,41,-1,-1,-1,-1,0
35ALB,11188,42.43584,-74.19773,-1,Plastic,Projecting,Round,1.5,0,0,3.4,39.5,-1,-1,-1,-1,0
36ALB,11217,42.489805,-74.175758,-1,Plastic,Headwall,Round,1.2,0,0,0.9,31,-1,-1,-1,-1,0
37ALB,11218,42.462693,-74.175875,-1,Steel / Metal,Projecting,Round,1.3,0,0,3.7,51,-1,-1,-1,-1,0
38ALB,11220,42.499357,-74.202157,-1,Steel / Metal,Headwall,Round,1.5,0,0,5.3,22,-1,-1,-1,-1,0
39ALB,11221,42.499413,-74.197958,-1,Steel / Metal,Headwall,Round,1.6,0,0,5.3,25.5,-1,-1,-1,-1,0
40ALB,11232,42.463045,-74.184343,-1,Steel / Metal,Projecting,Round,1.3,0,0,5.7,56,-1,-1,-1,-1,0
41ALB,11234,42.462936,-74.184321,-1,Plastic,Headwall,Round,1.1,0,0,1,50.5,-1,-1,-1,-1,0
42ALB,11238,42.468961,-74.185311,-1,Plastic,Projecting,Round,1.4,0,0,3.8,35,-1,-1,-1,-1,0
43ALB,11239,42.471151,-74.185263,-1,Steel / Metal,Headwall,Round,1.4,0,0,2.1,41.4,-1,-1,-1,-1,0
44ALB,11240,42.471506,-74.1853,-1,Steel / Metal,Headwall,Round,2.9,0,0,4.8,36,-1,-1,-1,-1,0
45ALB,11241,42.473846,-74.185111,-1,Steel / Metal,Headwall,Round,3.5,0,0,3.8,24,-1,-1,-1,-1,0
46ALB,11243,42.50509,-74.211686,-1,Plastic,Headwall,Round,2,0,0,6.5,30.5,-1,-1,-1,-1,0
47ALB,11244,42.505518,-74.210846,-1,Plastic,Headwall and Wingwall,Round,2,0,0,6.5,30,-1,-1,-1,-1,0
48ALB,11247,42.493106,-74.21593,-1,Plastic,Other,Round,1.2,0,0,3.3,18,-1,-1,-1,-1,0
49ALB,11250,42.444241,-74.208846,-1,Plastic,Wingwall,Round,2,0,0,6.5,15.7,-1,-1,-1,-1,0
50ALB,11255,42.460488,-74.193902,-1,Steel / Metal,Wingwall,Round,0.7,0,0,4.4,56,-1,-1,-1,-1,0
51ALB,11257,42.46727,-74.194418,-1,Steel / Metal,Headwall,Round,1.7,0,0,3.3,40,-1,-1,-1,-1,0
52ALB,11258,42.4718,-74.19718,-1,Plastic,Headwall,Round,1.2,0,0,3.1,28,-1,-1,-1,-1,0
53ALB,11259,42.474538,-74.196885,-1,Plastic,Projecting,Round,1.2,0,0,2.5,33.3,-1,-1,-1,-1,0
54ALB,11260,42.48613,-74.197156,-1,Plastic,Headwall,Round,1.9,0,0,3.5,40.3,-1,-1,-1,-1,0
55ALB,11262,42.454083,-74.209885,-1,Plastic,Headwall,Round,1.5,0,0,5.3,40.3,-1,-1,-1,-1,0
56ALB,11161,42.425356,-74.19829,-1,Plastic,Projecting,Round,2,0,0,1.7,41.5,-1,-1,-1,-1,0
57ALB,11236,42.466173,-74.185348,-1,Plastic,Headwall,Round,1.9,0,0,2.1,31,-1,-1,-1,-1,0
58ALB,11246,42.496623,-74.216676,-1,Steel / Metal,Headwall,Round,3,0,0,4,26,-1,-1,-1,-1,0
59ALB,11253,42.471763,-74.220685,-1,Steel / Metal,Headwall,Round,2,0,0,2.3,29.5,-1,-1,-1,-1,0
60ALB,21931,42.606639,-73.769431,-1,Concrete,Wingwall and Headwall,Box,5.8,4.5,4,3.8,46,-1,-1,-1,-1,0
61ALB,51822,42.532904,-73.884223,-1,Concrete,Wingwall and Headwall,Box,14.6,8.8,3,0.5,27.5,-1,-1,-1,-1,0
62ALB,42975,42.532,-73.771,-1,Concrete,Projecting,Round,1,0.9,1,0,25,-1,-1,-1,-1,0
63ALB,47671,42.531328,-73.930567,-1,Concrete,Headwall,Round,4.8,5,1.5,5.3,42.3,-1,-1,-1,-1,0
64ALB,48279,42.53564,-73.961494,-1,Metal,Projecting,Round,1.5,1.1,0.4,1.1,20,-1,-1,-1,-1,0
